incidnt_num,category,descript,day_of_week,date,time,pd_district,resolution,address,lon,lat,location,id
1.40069312E8,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,01/23/2014 08:00:00 AM +0000,22:00,TARAVAL,NONE,1700 Block of GREAT HY,-122.508367622034,37.7533946855108,"(37.7533946855108, -122.508367622034)",2761
1.31053316E8,OTHER OFFENSES,FALSE EVIDENCE OF VEHICLE REGISTRATION,Sunday,12/15/2013 08:00:00 AM +0000,14:02,TARAVAL,NONE,GRAFTON AV / PLYMOUTH AV,-122.456133604353,37.7200324075539,"(37.7200324075539, -122.456133604353)",15241
1.31052324E8,RECOVERED VEHICLE,STOLEN AND RECOVERED VEHICLE,Saturday,12/14/2013 08:00:00 AM +0000,20:00,SOUTHERN,NONE,11TH ST / DIVISION ST,-122.410932750782,37.769411384942,"(37.769411384942, -122.410932750782)",15412
1.46005926E8,FORGERY/COUNTERFEITING,"CHECKS, FORGERY (MISDEMEANOR)",Wednesday,12/18/2013 08:00:00 AM +0000,15:15,CENTRAL,NONE,100 Block of POST ST,-122.404488010879,37.7888224148383,"(37.7888224148383, -122.404488010879)",14320
1.30963683E8,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Wednesday,11/13/2013 08:00:00 AM +0000,18:49,INGLESIDE,"ARREST, BOOKED",900 Block of GENEVA AV,-122.439913710638,37.7157615243343,"(37.7157615243343, -122.439913710638)",25756
1.40048231E8,FRAUD,"CREDIT CARD, THEFT BY USE OF",Thursday,01/16/2014 08:00:00 AM +0000,21:00,PARK,NONE,0 Block of DELLBROOK AV,-122.454218509155,37.7506905680626,"(37.7506905680626, -122.454218509155)",5107
1.30970296E8,ASSAULT,ASSAULT,Friday,11/15/2013 08:00:00 AM +0000,20:55,PARK,NONE,1700 Block of FULTON ST,-122.445650666502,37.7759399235591,"(37.7759399235591, -122.445650666502)",25254
1.40048786E8,FRAUD,"CREDIT CARD, THEFT BY USE OF",Tuesday,01/14/2014 08:00:00 AM +0000,14:20,TENDERLOIN,NONE,100 Block of OFARRELL ST,-122.407567826112,37.7865024401191,"(37.7865024401191, -122.407567826112)",6196
1.40070767E8,NON-CRIMINAL,FOUND PROPERTY,Thursday,01/23/2014 08:00:00 AM +0000,14:00,BAYVIEW,NONE,100 Block of DAKOTA ST,-122.395666655192,37.7536382809251,"(37.7536382809251, -122.395666655192)",2870
1.36223542E8,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,11/27/2013 08:00:00 AM +0000,00:28,RICHMOND,NONE,2100 Block of PIERCE ST,-122.437375923764,37.7894798035406,"(37.7894798035406, -122.437375923764)",21117
1.36236197E8,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Saturday,12/14/2013 08:00:00 AM +0000,18:00,NORTHERN,NONE,POLK ST / BUSH ST,-122.420307355721,37.7886989511647,"(37.7886989511647, -122.420307355721)",15525
1.40064271E8,NON-CRIMINAL,FOUND PROPERTY,Wednesday,01/22/2014 08:00:00 AM +0000,16:00,MISSION,NONE,600 Block of VALENCIA ST,-122.421737705281,37.7629080944622,"(37.7629080944622, -122.421737705281)",3144
1.46012482E8,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Saturday,12/21/2013 08:00:00 AM +0000,23:45,SOUTHERN,NONE,400 Block of 6TH ST,-122.404031141185,37.7772892964777,"(37.7772892964777, -122.404031141185)",13317
1.31074469E8,OTHER OFFENSES,RESISTING ARREST,Sunday,12/22/2013 08:00:00 AM +0000,11:32,BAYVIEW,"ARREST, BOOKED",1400 Block of MENDELL ST,-122.390433304546,37.7344453657749,"(37.7344453657749, -122.390433304546)",12975
1.30967497E8,OTHER OFFENSES,PROBATION VIOLATION,Thursday,11/14/2013 08:00:00 AM +0000,22:33,MISSION,"ARREST, BOOKED",500 Block of VALENCIA ST,-122.421811811982,37.7645759128106,"(37.7645759128106, -122.421811811982)",25554
